id,num_grains,grain_h,grain_out_r,throat_r,tube_l,tube_d,nose_l,nose_type,fin_n,fin_root,fin_tip,fin_span,fin_sweep,apogee,stability_initial,max_mach,max_acceleration
b833776d,7,0.1489447322509556,0.03180311180338473,0.010765885585612171,1.5981639682394033,0.08360622360676946,0.27853077014224875,conical,4,0.13186059979058132,0.08595246349614806,0.18964100592146804,0.007751511361263019,2700.994915791971,1.9196959070046145,0.8515629693693636,119.01722701671693
685177ed,7,0.054026941966716806,0.04870027950378132,0.010448827061721722,1.163143076228085,0.11740055900756265,0.24493351963676546,ogive,4,0.20824441509796549,0.10971586864916857,0.14166595907540774,0.05352396160306558,2072.1192405438587,0.26738795990323116,0.8699620191457964,108.08772938243104
4ef3018a,5,0.11854820590752692,0.03419318717639717,0.007019959501871173,0.9863140626964532,0.08838637435279434,0.47823188947587775,vonKarman,3,0.29571095798387015,0.08658882949257143,0.09198111300426871,0.06488685138590253,3109.6008658329442,0.3547799146152168,1.0633854353855032,130.48226885269003
fec71c3d,4,0.05335807425164745,0.03236408136443959,0.01194921440077834,0.9717785722757319,0.08472816272887919,0.27379213484931436,ogive,4,0.2028402240941756,0.16731776060061526,0.16741910491349254,0.06676917150964354,3868.876312582222,2.3467055073705856,1.2713753740943452,153.48263625846167
8b403fb0,5,0.07951376162271913,0.025392733919987157,0.005698305311763961,2.5132010112210836,0.07078546783997432,0.3795314032731344,conical,3,0.22575983131382404,0.05092525191936646,0.18050405177228368,0.0312564320815103,3526.7116095651795,9.081321530742688,0.926611861588256,106.99663979486056
7badcb7e,3,0.1373435140746059,0.024638797997289314,0.00865408465927376,1.176348834793819,0.06927759599457863,0.28769370655014226,conical,3,0.23624016519443886,0.18851996850198324,0.1207515494026917,0.12065905937451181,4767.860323302942,3.8279556318547403,1.2949560413979329,151.07576733460493
b40dac30,6,0.061876377221098344,0.02702016971460022,0.006004996137185839,2.649893279726798,0.07404033942920044,0.3445564740875246,ogive,4,0.23815924341323058,0.09747131809119204,0.10820055708514856,0.0011909530795474355,3270.438472686943,7.710582074698485,0.8835874767173878,101.99527533018728
b99db6fe,6,0.05298732952853217,0.02042493714925545,0.006096041065934149,1.2146287813275913,0.060849874298510895,0.29099491255062016,conical,3,0.09793951067712628,0.07588238186005603,0.12876816635317742,0.008977412659281037,5273.617791149913,3.363718658564136,1.2389518318291206,144.61455841521303
9d8ea6b0,4,0.09970509497019378,0.04957673794710613,0.011144041775790177,2.1256861807998892,0.11915347589421227,0.5467704285509476,conical,4,0.09838004448992797,0.05015872993978833,0.13897389856873024,0.05310455870244819,1927.370695965678,0.8148906790865273,0.7847568892571642,102.72125457334717
f9ee9b79,7,0.09295935752146504,0.04251527870998663,0.008344115180126404,1.0481861760555085,0.10503055741997326,0.3429790836105237,vonKarman,3,0.22812172114293056,0.06484950374491956,0.10187453001393748,0.0273190264956182,2210.9249228008243,-0.7600155366007265,0.8616539516742615,120.75882976389222
1548219c,2,0.09645957104334887,0.04022416282318664,0.008335791677603772,1.412866589844475,0.10044832564637328,0.337489144065185,conical,3,0.17700563308710018,0.1693132750437942,0.0980402094469035,0.022986673239925363,3015.568274538197,1.1728867419803144,1.1366810603222315,137.1332394312915
331a7441,3,0.11560062122728788,0.03902789671750532,0.010371942572031969,2.035724224732423,0.09805579343501064,0.22261391824551377,conical,4,0.1598165434703146,0.09127218044185022,0.16985424936467414,0.12644376805234916,2706.8317268939027,3.921895794428547,0.9396347883335563,110.35633535318902
32343a30,5,0.09896997588569934,0.024903985252530392,0.008942039969021593,2.603279886869825,0.06980797050506078,0.28047382412490707,ogive,4,0.17198932533216552,0.11883628242020043,0.06593720366419684,0.006064906215032323,3445.4809435616016,4.836598428823145,0.9020438387067083,104.55705358616343
e288638c,5,0.059720890565850664,0.029854517877043844,0.007457402193333819,2.162813600730951,0.07970903575408769,0.2720359993953256,vonKarman,3,0.21131798975790322,0.035966190017627644,0.10429785095770462,0.0014251576313524304,3377.4412420544722,3.592094847647665,0.9648945703667478,111.8239367207179
a4242650,7,0.09503528429199196,0.035738422860599445,0.0065704393858703174,1.721493503213762,0.0914768457211989,0.2786479261516445,conical,3,0.190510480971246,0.08152036589073314,0.09155082411890506,0.11538906143341829,2533.511720538282,-0.0073592302839820215,0.8402362367462244,110.9223054308062
d878e489,6,0.13882670037230174,0.028633258208600125,0.00731529843171502,2.277765107345477,0.07726651641720025,0.3850006426794963,ogive,4,0.13783981106187476,0.083823901271732,0.12198135662377106,0.0683416749830701,2917.3713705363775,4.473774772664471,0.8433884285751075,107.09917382330333
707cc310,2,0.14243829345341633,0.041232966871170805,0.00598340555449751,2.5183646626766363,0.10246593374234161,0.5895957273737746,conical,4,0.25777002480574357,0.1791226293543515,0.07707985342283528,0.1312107873632371,2527.8644765965723,2.329265177583566,0.8863516349920605,103.66743446476522
c36e89b1,6,0.05277225138990193,0.03411562347328294,0.005650240167759359,1.752322729917336,0.08823124694656588,0.5830943713973846,conical,4,0.2560231602261014,0.06460973860712084,0.17806536372825793,0.03421520164429727,3096.0709181433667,3.931210409698514,0.9730992113493901,113.31297748599641
a5f1783f,5,0.12108693390794761,0.025398235140848144,0.00891313813218678,2.3431022330455535,0.07079647028169629,0.29921038179613013,vonKarman,3,0.17054542141411727,0.07426505334602017,0.1643774067037953,0.04424704227367796,3437.6539303851255,7.077802963829482,0.9174028980889124,108.91487065796981
5dc3ab26,3,0.0654233116627683,0.048880530789590176,0.011863509493760697,2.42811273243968,0.11776106157918036,0.20524431735577672,ogive,4,0.08629220041270984,0.023901199942104448,0.18750741558205236,0.04941680140092641,2207.3044341227296,2.6035365845874106,0.8605124209088193,101.33114715170917
21f527c3,3,0.056485841795861726,0.0401915800119478,0.010137115090116462,2.4062075101739544,0.1003831600238956,0.4816093599074041,ogive,4,0.22376692968869039,0.1712525541872623,0.17480348728995065,0.049461215690672196,2751.151911447111,6.0762794412912235,0.9374873868299548,110.85495452770175
578c36a8,2,0.13153916993544806,0.04421269537502727,0.009606410933158897,2.7505053882120016,0.10842539075005454,0.4145542320058139,conical,3,0.25829376404982596,0.02284573645566117,0.07658711023041564,0.01638938627688728,2305.236499345604,-0.786398823742532,0.8343244146983924,97.82271358547155
cdc55afa,2,0.14204466754240297,0.020808878585504918,0.011908373572604162,1.4442305997006109,0.06161775717100984,0.4323238926201486,vonKarman,3,0.14323464653589352,0.1195568019191649,0.15257685685778236,0.11174235198697041,5505.7058572628175,6.599037282634448,1.325828396895623,155.55106925118213
08fb3c17,5,0.13512434398756656,0.026204215868025984,0.011010359028447231,2.6341993016405483,0.07240843173605196,0.39183511965462303,ogive,3,0.23758428826477646,0.028711102352007765,0.1811810219724237,0.06976484354180758,3130.7913817478793,8.300799128216138,0.855916522311762,104.54266253083934
f1f8f92f,5,0.08136313844335541,0.02917386767578735,0.009072677816533165,2.018760251370605,0.0783477353515747,0.48298324472123116,ogive,3,0.2442491860757771,0.02481259583796743,0.18010192387018087,0.09227989989039434,3409.1134688901034,5.615752217240319,0.9729541512675527,113.13543472019799
60743479,2,0.0500194449140188,0.038540951395250045,0.007167405133015127,2.9451599170934237,0.0970819027905001,0.2847373137566853,vonKarman,4,0.26499836939947435,0.03552830736850136,0.12239491997783532,0.05415694105611945,2815.012887349429,7.5045237566488865,0.9093045474506865,108.85076163102582
dae44477,7,0.10229285254363323,0.044019138507763705,0.010292492989076803,1.1362610592019724,0.10803827701552741,0.40780872281191505,ogive,4,0.23183555523336347,0.08712327330955026,0.1848626396037668,0.12491626117686769,2017.000830213739,0.7533400602321895,0.8080286776975144,120.90164087424552
679c443b,5,0.06227690655873502,0.04504365552210779,0.011960602367839777,2.5457101178328605,0.11008731104421558,0.38751364973818636,ogive,3,0.16236891595950115,0.06362745237568385,0.13769080011505325,0.00038466027220872555,2172.4052837077966,1.8434654118858427,0.7931735443249605,93.76411842338487
7120ff58,6,0.09502596574466547,0.02311629975313877,0.009690570230790414,2.413153599196129,0.06623259950627754,0.45271334041450606,conical,3,0.08242076862424405,0.04373205714061734,0.1713903095833123,0.11946412661903706,3621.1611822326663,8.160008057189795,0.9185910464386727,106.48258402476935
036536eb,6,0.11466229695842277,0.04240275660419813,0.009021608614027633,1.0510114026408162,0.10480551320839626,0.352725993451109,vonKarman,4,0.17465838826629612,0.040854725421083996,0.19239796264395004,0.1341444233344426,2160.404130162146,0.605536828612006,0.8578367811143195,125.5504341431911
